question,possible_answers,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop
"In which country is Normania Township, located in Yellow Medicine County, Minnesota?","[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1469534,Normania Township,country,United States of America,656272,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q1910672,http://www.wikidata.org/entity/Q30,"Normania Township, Yellow Medicine County, Minnesota",United States,57,1629691
In what country is Chicche District?,"[""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""🇵🇪"", ""Republica del Peru""]",3711589,Chicche District,country,Peru,1611864,182,1283964,[],"[""pe"",""Republic of Peru"",""Rep\u00fablica del Per\u00fa"",""\ud83c\uddf5\ud83c\uddea"",""Republica del Peru""]",http://www.wikidata.org/entity/Q5095950,http://www.wikidata.org/entity/Q419,Chicche District,Peru,37,136982
In what country is canton of Marseille-La Pomme?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",1202978,canton of Marseille-La Pomme,country,France,535902,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q1726117,http://www.wikidata.org/entity/Q142,Canton of Marseille-La Pomme,France,57,486947
"In which country is Devanur, a village in Tamil Nadu, located?","[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",3905343,Devanur,country,India,1704501,182,2215085,[],"[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q5266505,http://www.wikidata.org/entity/Q668,Devanur,India,89,1301086
"In what country is Tegher, a village in Aragatsotn Province, located?","[""Armenia"", ""Republic of Armenia"", ""🇦🇲"", ""ARM"", ""AM""]",1949764,Tegher,country,Armenia,856894,182,1257196,[],"[""Republic of Armenia"",""\ud83c\udde6\ud83c\uddf2"",""ARM"",""AM""]",http://www.wikidata.org/entity/Q2535629,http://www.wikidata.org/entity/Q399,"Tegher, Armenia",Armenia,93,196468
In what country is Kodki?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",4874451,Kodki,country,India,2146537,182,2215085,[],"[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q6425377,http://www.wikidata.org/entity/Q668,Kodki,India,67,1301086
In what country is Javar Tan?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",4650612,Javar Tan,country,Iran,2049328,182,2753763,[],"[""Islamic Republic of Iran"",""Persia"",""ir"",""Islamic Rep. Iran"",""\ud83c\uddee\ud83c\uddf7""]",http://www.wikidata.org/entity/Q6165257,http://www.wikidata.org/entity/Q794,Javar Tan,Iran,40,317291
"In what country is New England, a former state electoral district?","[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""au"", ""British Colony of Australia"", ""🇦🇺"", ""Straya"", ""Aussieland""]",4012395,New England,country,Australia,1753305,182,1270922,"[""Electoral district of New England"",""New England NSW"",""New England electoral district""]","[""Commonwealth of Australia"",""AU"",""AUS"",""au"",""British Colony of Australia"",""\ud83c\udde6\ud83c\uddfa"",""Straya"",""Aussieland""]",http://www.wikidata.org/entity/Q5355766,http://www.wikidata.org/entity/Q408,Electoral district of New England,Australia,85,713574
"In what country is Kowale, Lower Silesian Voivodeship?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",4883237,"Kowale, Lower Silesian Voivodeship",country,Poland,2151124,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q6434933,http://www.wikidata.org/entity/Q36,"Kowale, Lower Silesian Voivodeship",Poland,20,355720
In what country is Obeakpu?,"[""Nigeria"", ""Federal Republic of Nigeria"", ""🇳🇬"", ""NG"", ""FRN"", ""NGA"", ""NGR"", ""Naija""]",1098833,Obeakpu,country,Nigeria,477050,182,16314,[],"[""Federal Republic of Nigeria"",""\ud83c\uddf3\ud83c\uddec"",""NG"",""FRN"",""NGA"",""NGR"",""Naija""]",http://www.wikidata.org/entity/Q16896042,http://www.wikidata.org/entity/Q1033,Obeakpu,Nigeria,53,336913
"In what country is La Couarde-sur-Mer, a commune in Charente-Maritime located?","[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",6265961,La Couarde-sur-Mer,country,France,2828799,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q818599,http://www.wikidata.org/entity/Q142,La Couarde-sur-Mer,France,87,486947
"""In what country is Riechheimer Berg, a municipal association in Thuringia located?""","[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]",6376093,Riechheimer Berg,country,Germany,2872386,182,607728,[],"[""FRG"",""BRD"",""Bundesrepublik Deutschland"",""Federal Republic of Germany"",""de"",""Deutschland"",""GER"",""BR Deutschland"",""DE""]",http://www.wikidata.org/entity/Q896050,http://www.wikidata.org/entity/Q183,Riechheimer Berg,Germany,39,556493
In what country is Alexeni River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",3282404,Alexeni River,country,Romania,1408444,182,756886,[],"[""Roumania"",""Rumania"",""Rom\u00e2nia"",""ro"",""\ud83c\uddf7\ud83c\uddf4""]",http://www.wikidata.org/entity/Q4721308,http://www.wikidata.org/entity/Q218,Alexeni River,Romania,8,278539
In what country is Villers-sous-Foucarmont?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",4977081,Villers-sous-Foucarmont,country,France,2195862,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q657129,http://www.wikidata.org/entity/Q142,Villers-sous-Foucarmont,France,57,486947
"""In what country is North Lake, a lake located in Nova Scotia, situated?""","[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",5308029,North Lake,country,Canada,2355667,182,355510,[],"[""Dominion of Canada"",""British North America"",""CAN"",""CA"",""ca"",""can"",""Can.""]",http://www.wikidata.org/entity/Q7055883,http://www.wikidata.org/entity/Q16,North Lake (Nova Scotia),Canada,57,816653
In what country is 112th United States Colored Infantry?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",902091,112th United States Colored Infantry,country,United States of America,382751,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q16149452,http://www.wikidata.org/entity/Q30,112th United States Colored Infantry Regiment,United States,35,1629691
In what country is Storsteinnes Chapel?,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""no"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]",5837309,Storsteinnes Chapel,country,Norway,2612874,182,702887,[],"[""Kingdom of Norway"",""Norge"",""Norv\u00e8ge\u200f"",""NO"",""NOR"",""no"",""Noreg"",""Norwegen\u200f"",""\ud83c\uddf3\ud83c\uddf4""]",http://www.wikidata.org/entity/Q7620344,http://www.wikidata.org/entity/Q20,Storsteinnes Chapel,Norway,41,293715
In what country is Ch'uch'u Apachita?,"[""Bolivia"", ""Plurinational State of Bolivia"", ""bo"", ""bol"", ""🇧🇴"", ""Republic of Bolivia"", ""BOL"", ""Bolivia (Plurinational State of)""]",1405876,Ch'uch'u Apachita,country,Bolivia,628804,182,2566640,[],"[""Plurinational State of Bolivia"",""bo"",""bol"",""\ud83c\udde7\ud83c\uddf4"",""Republic of Bolivia"",""BOL"",""Bolivia (Plurinational State of)""]",http://www.wikidata.org/entity/Q18614646,http://www.wikidata.org/entity/Q750,Ch'uch'u Apachita,Bolivia,53,119154
In what country is the river Bārta found?,"[""Latvia"", ""Republic of Latvia"", ""Latvian Republic"", ""lv"", ""Latvija"", ""🇱🇻"", ""LAT"", ""LVA""]",4591269,Bārta,country,Latvia,2024824,182,739213,"[""Bartuva""]","[""Republic of Latvia"",""Latvian Republic"",""lv"",""Latvija"",""\ud83c\uddf1\ud83c\uddfb"",""LAT"",""LVA""]",http://www.wikidata.org/entity/Q610187,http://www.wikidata.org/entity/Q211,Bārta,Latvia,78,151926
"""In what country is Urge, a village in Kohila Rural Municipality?""","[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST"", ""🇪🇪""]",1639019,Urge,country,Estonia,728450,182,656083,[],"[""Republic of Estonia"",""Estland"",""Eesti"",""ee"",""EST"",""\ud83c\uddea\ud83c\uddea""]",http://www.wikidata.org/entity/Q2075028,http://www.wikidata.org/entity/Q191,"Urge, Rapla County",Estonia,77,169786
"In what country is Domašov, a village in the South Moravian region?","[""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""CZE"", ""Czechia""]",5835502,Domašov,country,Czech Republic,2611845,182,744365,[],"[""CZR"",""cz"",""\u010cesko"",""\u010cesk\u00e1 republika"",""\u010cR"",""cze"",""CZE"",""Czechia""]",http://www.wikidata.org/entity/Q761824,http://www.wikidata.org/entity/Q213,Domašov,Czech Republic,88,271047
In what country is Vaiea?,"[""Niue"", ""Niuē"", ""nu"", ""🇳🇺""]",2300498,Vaiea,country,Niue,1003907,182,1114748,[],"[""Niu\u0113"",""nu"",""\ud83c\uddf3\ud83c\uddfa""]",http://www.wikidata.org/entity/Q3045571,http://www.wikidata.org/entity/Q34020,Vaiea,Niue,98,41278
In what country is Monitor House?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",5204915,Monitor House,country,United States of America,2304141,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q6900482,http://www.wikidata.org/entity/Q30,Monitor House,United States,71,1629691
In what country is Sagoni?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",5667395,Sagoni,country,India,2526433,182,2215085,[],"[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q7399342,http://www.wikidata.org/entity/Q668,Sagoni,India,64,1301086
In what country is Eeuwfeestkliniek?,"[""Belgium"", ""Kingdom of Belgium"", ""BEL"", ""be"", ""🇧🇪"", ""BE""]",4003566,Eeuwfeestkliniek,country,Belgium,1748989,182,1021279,[],"[""Kingdom of Belgium"",""BEL"",""be"",""\ud83c\udde7\ud83c\uddea"",""BE""]",http://www.wikidata.org/entity/Q5347172,http://www.wikidata.org/entity/Q31,Eeuwfeestkliniek,Belgium,66,249550
"In what country is Łupiny, Masovian Voivodeship?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",2057039,"Łupiny, Masovian Voivodeship",country,Poland,901132,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q2678148,http://www.wikidata.org/entity/Q36,"Łupiny, Masovian Voivodeship",Poland,57,355720
In what country is Xaga?,"[""People's Republic of China"", ""China"", ""CN"", ""PR China"", ""PRC"", ""cn"", ""CHN"", ""🇨🇳"", ""China PR"", ""Mainland China""]",6218249,Xaga,country,People's Republic of China,2805182,182,265491,[],"[""China"",""CN"",""PR China"",""PRC"",""cn"",""CHN"",""\ud83c\udde8\ud83c\uddf3"",""China PR"",""Mainland China""]",http://www.wikidata.org/entity/Q8042824,http://www.wikidata.org/entity/Q148,Xaga,China,15,724517
"In what country is Babino, Haiti?","[""Haiti"", ""Republic of Haiti"", ""ht"", ""Hayti"", ""HT"", ""République d'Haïti"", ""Haitian Republic"", ""Ayiti"", ""🇭🇹"", ""HAI""]",1332334,"Babino, Haiti",country,Haiti,592204,182,2736168,[],"[""Republic of Haiti"",""ht"",""Hayti"",""HT"",""R\u00e9publique d'Ha\u00efti"",""Haitian Republic"",""Ayiti"",""\ud83c\udded\ud83c\uddf9"",""HAI""]",http://www.wikidata.org/entity/Q18148936,http://www.wikidata.org/entity/Q790,"Babino, Grand'Anse",Haiti,45,188949
In what country is Hatnagoda?,"[""Sri Lanka"", ""Democratic Socialist Republic of Sri Lanka"", ""Ceylon"", ""Taprobane"", ""Serendib"", ""Ceylan"", ""🇱🇰"", ""lk"", ""Lanka, Sri"", ""sri"", ""lke"", ""ce"", ""Srilanka"", ""SRI"", ""سرنديب"", ""سيلان""]",4350340,Hatnagoda,country,Sri Lanka,1910899,182,2849831,[],"[""Democratic Socialist Republic of Sri Lanka"",""Ceylon"",""Taprobane"",""Serendib"",""Ceylan"",""\ud83c\uddf1\ud83c\uddf0"",""lk"",""Lanka, Sri"",""sri"",""lke"",""ce"",""Srilanka"",""SRI"",""\u0633\u0631\u0646\u062f\u064a\u0628"",""\u0633\u064a\u0644\u0627\u0646""]",http://www.wikidata.org/entity/Q5681699,http://www.wikidata.org/entity/Q854,Hatnagoda,Sri Lanka,30,319836
In what country is Deodara?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",6513064,Deodara,country,India,2924471,182,2215085,[],"[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q966805,http://www.wikidata.org/entity/Q668,Deodara,India,58,1301086
In what country is Puzdrowizna?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",266049,Puzdrowizna,country,Poland,107412,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q11832010,http://www.wikidata.org/entity/Q36,Puzdrowizna,Poland,26,355720
In what country is Harisan?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",2136260,Harisan,country,Iran,934095,182,2753763,[],"[""Islamic Republic of Iran"",""Persia"",""ir"",""Islamic Rep. Iran"",""\ud83c\uddee\ud83c\uddf7""]",http://www.wikidata.org/entity/Q2791849,http://www.wikidata.org/entity/Q794,Harisan,Iran,59,317291
"In what country is Ločenice, a village in the South Bohemian region?","[""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""CZE"", ""Czechia""]",1430021,Ločenice,country,Czech Republic,639609,182,744365,[],"[""CZR"",""cz"",""\u010cesko"",""\u010cesk\u00e1 republika"",""\u010cR"",""cze"",""CZE"",""Czechia""]",http://www.wikidata.org/entity/Q1872754,http://www.wikidata.org/entity/Q213,Ločenice,Czech Republic,46,271047
"In what country is Aki, a dissolved municipality in Higashikunisaki district?","[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",3248819,Aki,country,Japan,1394282,182,502871,[],"[""State of Japan"",""Land of the Rising Sun"",""Nihon"",""Nippon"",""JP"",""Nippon-koku"",""Nihon-koku"",""JA"",""JPN"",""jp"",""JAP"",""Ja"",""Jap""]",http://www.wikidata.org/entity/Q4700842,http://www.wikidata.org/entity/Q17,"Aki, Ōita",Japan,60,702414
In what country is Taia River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",5875403,Taia River,country,Romania,2632459,182,756886,[],"[""Roumania"",""Rumania"",""Rom\u00e2nia"",""ro"",""\ud83c\uddf7\ud83c\uddf4""]",http://www.wikidata.org/entity/Q7675868,http://www.wikidata.org/entity/Q218,Taia (river),Romania,34,278539
In what country is Sjösa?,"[""Sweden"", ""Kingdom of Sweden"", ""SE"", ""se"", ""SWE"", ""🇸🇪""]",1758360,Sjösa,country,Sweden,777812,182,1114197,[],"[""Kingdom of Sweden"",""SE"",""se"",""SWE"",""\ud83c\uddf8\ud83c\uddea""]",http://www.wikidata.org/entity/Q2260986,http://www.wikidata.org/entity/Q34,Sjösa,Sweden,65,310896
In what country is Morales de Campos found?,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP""]",1475631,Morales de Campos,country,Spain,658872,182,962574,[],"[""Espa\u00f1a"",""Kingdom of Spain"",""ES"",""ESP""]",http://www.wikidata.org/entity/Q1919453,http://www.wikidata.org/entity/Q29,Morales de Campos,Spain,56,377325
"""In what country is the Dobra River located?""","[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",3927118,Dobra River,country,Romania,1714891,182,756886,[],"[""Roumania"",""Rumania"",""Rom\u00e2nia"",""ro"",""\ud83c\uddf7\ud83c\uddf4""]",http://www.wikidata.org/entity/Q5286678,http://www.wikidata.org/entity/Q218,Dobra River (Lotru),Romania,11,278539
"In what country is Karahasanlı, a neighborhood in Karaisalı?","[""Turkey"", ""Republic of Turkey"", ""🇹🇷"", ""TUR"", ""TR""]",4811648,Karahasanlı,country,Turkey,2117928,182,1297158,"[""Karahasanl\u0131, Karaisal\u0131""]","[""Republic of Turkey"",""\ud83c\uddf9\ud83c\uddf7"",""TUR"",""TR""]",http://www.wikidata.org/entity/Q6367944,http://www.wikidata.org/entity/Q43,"Karahasanlı, Karaisalı",Turkey,27,454969
In what country is Ackerman-Dewsnap House?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",3218697,Ackerman-Dewsnap House,country,United States of America,1379595,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q4674242,http://www.wikidata.org/entity/Q30,Ackerman-Dewsnap House,United States,62,1629691
"In what country is Wilcza Jama, Sokółka County?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",4402885,"Wilcza Jama, Sokółka County",country,Poland,1934514,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q5754014,http://www.wikidata.org/entity/Q36,"Wilcza Jama, Sokółka County",Poland,50,355720
In what country is Givron?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",21770,Givron,country,France,9177,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q1021558,http://www.wikidata.org/entity/Q142,Givron,France,91,486947
In what country is Humane Heritage Museum?,"[""Saudi Arabia"", ""Kingdom of Saudi Arabia"", ""🇸🇦"", ""KSA"", ""sa""]",4514687,Humane Heritage Museum,country,Saudi Arabia,1989396,182,2847995,[],"[""Kingdom of Saudi Arabia"",""\ud83c\uddf8\ud83c\udde6"",""KSA"",""sa""]",http://www.wikidata.org/entity/Q5939246,http://www.wikidata.org/entity/Q851,Humane Heritage Museum,Saudi Arabia,87,368537
"""In what country is Arlington, an unincorporated community in Harrison County?""","[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",3375127,Arlington,country,United States of America,1451324,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q4792252,http://www.wikidata.org/entity/Q30,"Arlington, Harrison County, West Virginia",United States,87,1629691
"In what country is Adams, an unincorporated community located?","[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1506440,Adams,country,United States of America,672162,182,988513,"[""Adams, New Jersey""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q19460101,http://www.wikidata.org/entity/Q30,"Adams, New Jersey",United States,99,1629691
In what country is the municipality located?,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP""]",344660,Pira,country,Spain,138582,182,962574,[],"[""Espa\u00f1a"",""Kingdom of Spain"",""ES"",""ESP""]",http://www.wikidata.org/entity/Q1248551,http://www.wikidata.org/entity/Q29,"Pira, Tarragona",Spain,82,377325
In what country is Tōhoku History Museum?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",2464337,Tōhoku History Museum,country,Japan,1067235,182,502871,[],"[""State of Japan"",""Land of the Rising Sun"",""Nihon"",""Nippon"",""JP"",""Nippon-koku"",""Nihon-koku"",""JA"",""JPN"",""jp"",""JAP"",""Ja"",""Jap""]",http://www.wikidata.org/entity/Q3246933,http://www.wikidata.org/entity/Q17,Tōhoku History Museum,Japan,80,702414
"In what country is Neal, an unincorporated community?","[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",5264183,Neal,country,United States of America,2335244,182,988513,"[""Neal, Illinois""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q6984028,http://www.wikidata.org/entity/Q30,"Neal, Illinois",United States,40,1629691
In what country is Korean Magazine Museum?,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]",4880111,Korean Magazine Museum,country,South Korea,2149516,182,2866409,[],"[""Republic of Korea"",""ROK"",""kr"",""Rep. Korea"",""S. Korea"",""Korea Republic"",""\ud83c\uddf0\ud83c\uddf7"",""KOR""]",http://www.wikidata.org/entity/Q6431866,http://www.wikidata.org/entity/Q884,Korean Magazine Museum,South Korea,32,492668
In what country is Francheville Aerodrome?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",701197,Francheville Aerodrome,country,France,296575,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q15218346,http://www.wikidata.org/entity/Q142,Francheville Aerodrome,France,52,486947
"In what country is Kijevac, a village located in the Pčinja District?","[""Serbia"", ""🇷🇸"", ""Republic of Serbia"", ""Republika Srbija"", ""rs"", ""Srbija"", ""SRB"", ""RS""]",2347689,Kijevac,country,Serbia,1023282,182,1263285,[],"[""\ud83c\uddf7\ud83c\uddf8"",""Republic of Serbia"",""Republika Srbija"",""rs"",""Srbija"",""SRB"",""RS""]",http://www.wikidata.org/entity/Q3105187,http://www.wikidata.org/entity/Q403,Kijevac (Surdulica),Serbia,47,232782
"In what country is Iron River (CDP), Wisconsin?","[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",243602,"Iron River (CDP), Wisconsin",country,United States of America,98219,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q11683659,http://www.wikidata.org/entity/Q30,"Iron River (CDP), Wisconsin",United States,47,1629691
In what country is Lätäseno?,"[""Finland"", ""Republic of Finland"", ""Finnia"", ""Land of Thousand Lakes"", ""fi"", ""Suomi"", ""Suomen tasavalta"", ""Republiken Finland"", ""🇫🇮"", ""FIN""]",1739387,Lätäseno,country,Finland,768947,182,1083907,[],"[""Republic of Finland"",""Finnia"",""Land of Thousand Lakes"",""fi"",""Suomi"",""Suomen tasavalta"",""Republiken Finland"",""\ud83c\uddeb\ud83c\uddee"",""FIN""]",http://www.wikidata.org/entity/Q222794,http://www.wikidata.org/entity/Q33,Lätäseno,Finland,88,233709
