question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What educational institution did Margarete Dessoff attend?,"[""Hoch Conservatory""]",Q473593,P69,Q466029,Hoch Conservatory,Q473593 P69 Q466029,Q473593 P69,Margarete Dessoff,educated at,Hoch Conservatory
What country recognizes Bernadett Biacsi as its citizen?,"[""\ud83c\udded\ud83c\uddfa"", ""Hungary"", ""Hungarian"", ""hu"", ""HUN""]",Q26704803,P27,Q28,Hungarian,Q26704803 P27 Q28,Q26704803 P27,Bernadett Biacsi,country of citizenship,Hungary
Who is a relative of Edna Elliott-Horton?,"[""Edward Mayfield Boyle""]",Q5340036,P1038,Q43079867,Edward Mayfield Boyle,Q5340036 P1038 Q43079867,Q5340036 P1038,Edna Elliott-Horton,relative,Edward Mayfield Boyle
Who wrote the 2008 novel Up and Down the Scratchy Mountains?,"[""Laurel Snyder""]",Q7898026,P50,Q6500016,Laurel Snyder,Q7898026 P50 Q6500016,Q7898026 P50,Up and Down the Scratchy Mountains,author,Laurel Snyder
Who directed Fintar o Destino?,"[""Fernando Vendrell""]",Q1418431,P57,Q1406873,Fernando Vendrell,Q1418431 P57 Q1406873,Q1418431 P57,Fintar o Destino,director,Fernando Vendrell
What organization is responsible for publishing the Journal of Developmental Entrepreneurship?,"[""World Scientific"", ""World Scientific Publishing""]",Q6295086,P123,Q1357666,World Scientific,Q6295086 P123 Q1357666,Q6295086 P123,Journal of Developmental Entrepreneurship,publisher,World Scientific
"Who was the producer of ""Tell Me What You Know""?","[""Elliott Brown Bannister III"", ""Brown Bannister""]",Q16953248,P162,Q4976044,Brown Bannister,Q16953248 P162 Q4976044,Q16953248 P162,Tell Me What You Know,producer,Brown Bannister
What is the administrative division of which Karashina is the capital?,"[""Dehqonobod Tumani"", ""Dehkanabad District""]",Q12108621,P1376,Q1646717,Dehkanabad District,Q12108621 P1376 Q1646717,Q12108621 P1376,Karashina,capital of,Dehkanabad District
Who directed The Magical Portrait?,"[""Gennadi Leonidovich Vasilyev"", ""Gennady Vasilyev"", ""Gennady Leonidovich Vasilyev""]",Q1170874,P57,Q4104585,Gennady Vasilyev,Q1170874 P57 Q4104585,Q1170874 P57,The Magical Portrait,director,Gennady Vasilyev
What is the country of citizenship of Luc Sindjoun?,"[""\ud83c\udde8\ud83c\uddf2"", ""Cameroon"", ""CMR"", ""Republic of Cameroon"", ""CAM"", ""cm""]",Q3264914,P27,Q1009,Cameroon,Q3264914 P27 Q1009,Q3264914 P27,Luc Sindjoun,country of citizenship,Cameroon
What medical condition did Hisham Hamdan test positive for?,"[""2019 novel coronavirus pneumonia"", ""COVID 19"", ""Covid-19"", ""COVID"", ""CD-19"", ""nCOVD 19"", ""COVID19"", ""2019 novel coronavirus respiratory syndrome"", ""WuRS"", ""Wuhan pneumonia"", ""SARS-CoV-2 infection"", ""COVID-2019"", ""Severe Acute Respiratory Syndrome Coronavirus 2"", ""Coronavirus disease 2019"", ""Novel Coronavirus Pneumonia"", ""COVID-19"", ""seafood market pneumonia"", ""nCOVD-19"", ""nCOVD19"", ""severe acute respiratory syndrome type 2"", ""coronavirus disease 2019"", ""Wuhan respiratory syndrome"", ""2019 NCP"", ""2019-nCoV acute respiratory disease""]",Q87725767,P1050,Q84263196,COVID-19,Q87725767 P1050 Q84263196,Q87725767 P1050,Hisham Hamdan,medical condition,COVID-19
Where was Aubert Vanderlinden born?,"[""Uccle"", ""Ukkel"", ""Uccle - Ukkel""]",Q2870580,P19,Q203312,Uccle,Q2870580 P19 Q203312,Q2870580 P19,Aubert Vanderlinden,place of birth,Uccle - Ukkel
"Who composed the song ""Not Going Down""?","[""Kevin Stuart James Savigar"", ""K.Savigar"", ""Kevin Savigar"", ""00048304491 IPI""]",Q27813945,P86,Q16187298,Kevin Savigar,Q27813945 P86 Q16187298,Q27813945 P86,Not Going Down,composer,Kevin Savigar
What is the capital city of General Taboada Department?,"[""A\u00f1atuya""]",Q1190567,P36,Q794668,Añatuya,Q1190567 P36 Q794668,Q1190567 P36,General Taboada Department,capital,Añatuya
Where was El reloj de Lucerna first staged?,"[""Teatro Apolo""]",Q60039813,P4647,Q5195517,Teatro Apolo,Q60039813 P4647 Q5195517,Q60039813 P4647,El reloj de Lucerna,location of first performance,Teatro Apolo
"Where was Helene Granqvist, the Swedish female curler, born?","[""H\u00e4rn\u00f6sand"", ""H\u00e4rn\u00f6sand urban area"", ""H\u00e4rn\u00f6sand, Sweden""]",Q64413490,P19,Q3240427,Härnösand,Q64413490 P19 Q3240427,Q64413490 P19,Helene Granqvist,place of birth,Härnösand
What is the place of birth of Frants Gufler?,"[""Hafn"", ""Copenhagen"", ""K\u00f6penhamn"", ""Kopenhagen"", ""Havn"", ""Kobenhavn"", ""K\u00f8benhavn"", ""Hafnia"", ""K\u00f6\u00f6penhamina"", ""K\u00f6benhavn"", ""CPH""]",Q1445726,P19,Q1748,Copenhagen,Q1445726 P19 Q1748,Q1445726 P19,Frants Gufler,place of birth,Copenhagen
Where was Frederick Goldsmith educated?,"[""St. John's College"", ""St John's College, Oxford"", ""St John's College"", ""Saint John's College""]",Q5497866,P69,Q609646,"St John's College, Oxford",Q5497866 P69 Q609646,Q5497866 P69,Frederick Goldsmith,educated at,St John's College
Where was Glenn M. DeVore born?,"[""Cochranton"", ""Cochranton, Pennsylvania""]",Q97798521,P19,Q1131658,"Cochranton, Pennsylvania",Q97798521 P19 Q1131658,Q97798521 P19,Glenn M. DeVore,place of birth,Cochranton
What educational institution did Peter Reed Morrison attend?,"[""University of Harvard"", ""Swarthmore College"", ""Harvard Graduate School"", ""Harvard"", ""Swat"", ""harvard.edu"", ""Harvard University""]",Q84949172,P69,Q1378320,Swarthmore College,Q84949172 P69 Q1378320,Q84949172 P69,Peter Reed Morrison,educated at,Swarthmore College
Where was Iurie Ciocan born?,"[""Kiscinev"", ""Ki\u015finev"", ""Kischinew"", ""Chisinau"", ""Kishinev"", ""Ki\u0161in\u00ecv"", ""Kiszyni\u00f3w"", ""Chi\u0219in\u0103u"", ""Khisinau"", ""Kishin\u00ebv"", ""Chi\u015fin\u0103u"", ""Kishinef"", ""Keshenev"", ""Kyshyniv"", ""Keshinov""]",Q6095578,P19,Q21197,Chişinău,Q6095578 P19 Q21197,Q6095578 P19,Iurie Ciocan,place of birth,Chișinău
Who was the screenwriter for The Man Without a Conscience?,"[""Louis D. Lighton"", ""Buddy Lighton""]",Q47500707,P58,Q5104089,Louis D. Lighton,Q47500707 P58 Q5104089,Q47500707 P58,The Man Without a Conscience,screenwriter,Louis D. Lighton
What is the architectural style of the Mount Pleasant Carnegie Library?,"[""Prairie School architecture"", ""Prairie School""]",Q85786686,P149,Q616358,Prairie School,Q85786686 P149 Q616358,Q85786686 P149,Mount Pleasant Carnegie Library,architectural style,Prairie School architecture
What sport is the Croatia national speedway team associated with?,"[""speedway"", ""motorcycle speedway"", ""speedway grand prix"", ""speedway gp"", ""speedway world championships"", ""speedway gb""]",Q5187074,P641,Q750080,motorcycle speedway,Q5187074 P641 Q750080,Q5187074 P641,Croatia national speedway team,sport,motorcycle speedway
Who is the composer of In Alium?,"[""Sir John Kenneth Tavener"", ""John Kenneth Tavener"", ""John Tavener"", ""Sir John Tavener""]",Q18161101,P86,Q317350,John Tavener,Q18161101 P86 Q317350,Q18161101 P86,In Alium,composer,John Tavener
Who is responsible for publishing the Maine Law Review?,"[""University of Maine School of Law"", ""Maine Law""]",Q6736386,P123,Q7895653,University of Maine School of Law,Q6736386 P123 Q7895653,Q6736386 P123,Maine Law Review,publisher,University of Maine School of Law
Where was Shalva Didebashvili born?,"[""GEO"", ""Georgia"", ""Georgia (country)"", ""\ud83c\uddec\ud83c\uddea"", ""GE"", ""Republic of Georgia""]",Q7487332,P19,Q230,Georgia,Q7487332 P19 Q230,Q7487332 P19,Shalva Didebashvili,place of birth,Georgia
What is the architectural style of the Cannady-Brogden Farm?,"[""Queen Anne architectural style"", ""Queen Anne style"", ""Queen Anne style architecture"", ""Queen Anne"", ""Queen Anne architecture""]",Q5032609,P149,Q529819,Queen Anne,Q5032609 P149 Q529819,Q5032609 P149,Cannady-Brogden Farm,architectural style,Queen Anne style architecture
What educational institution did Daniel Bourne attend?,"[""IUB"", ""Indiana University, Bloomington"", ""Indiana University Bloomington"", ""IU"", ""Indiana University system"", ""IU Bloomington"", ""Indiana University"", ""indiana.edu""]",Q5216631,P69,Q1079140,Indiana University Bloomington,Q5216631 P69 Q1079140,Q5216631 P69,Daniel Bourne,educated at,Indiana University Bloomington
Where was Joseph-Olivier Coté born?,"[""Ville de Qu\u00e9bec"", ""Quebec City"", ""Qu\u00e9bec"", ""Ville de Quebec"", ""City of Qu\u00e9bec"", ""Quebec"", ""3rd Summit of the Americas"", ""City of Quebec""]",Q6280684,P19,Q2145,Quebec City,Q6280684 P19 Q2145,Q6280684 P19,Joseph-Olivier Coté,place of birth,Quebec City
What educational institution did Yvonne Connolly Martin attend?,"[""NU"", ""Northwestern"", ""Northfield College"", ""Carleton College"", ""northwestern.edu"", ""Northwestern University""]",Q18611301,P69,Q309350,Northwestern University,Q18611301 P69 Q309350,Q18611301 P69,Yvonne Connolly Martin,educated at,Northwestern University
Where was Ouattara Lagazane born?,"[""Bondoukou""]",Q1724862,P19,Q892276,Bondoukou,Q1724862 P19 Q892276,Q1724862 P19,Ouattara Lagazane,place of birth,Bondoukou
What educational institution did Tsai Shengbai study at during 1915 to 1919?,"[""Lehigh University""]",Q14477783,P69,Q622137,Lehigh University,Q14477783 P69 Q622137,Q14477783 P69,Tsai Shengbai,educated at,Lehigh University
Where was Oree Originol born?,"[""L.A."", ""LA, California"", ""Los Angeles"", ""City of Los Angeles"", ""Los Angeles, California"", ""Los Angeles, CA"", ""Los \u00c1ngeles"", ""LA"", ""La La Land"", ""Double Dubuque"", ""City of Angels"", ""The town of Our Lady the Queen of the Angels of the Little Portion"", ""Pink City"", ""Tinsel Town""]",Q104127446,P19,Q65,"Los Angeles, California",Q104127446 P19 Q65,Q104127446 P19,Oree Originol,place of birth,Los Angeles
What organization is responsible for publishing the Encyclopédie de la Pléiade?,"[""\u00c9ditions Gallimard"", ""Groupe Gallimard"", ""Editions Gallimard"", ""Gallimard Publishers"", ""Gallimard""]",Q3053902,P123,Q273819,Éditions Gallimard,Q3053902 P123 Q273819,Q3053902 P123,Encyclopédie de la Pléiade,publisher,Éditions Gallimard
What is the place of birth of Steven Hinton?,"[""Ipswich, Queensland"", ""Ipswich""]",Q56486551,P19,Q1009253,"Ipswich, Queensland",Q56486551 P19 Q1009253,Q56486551 P19,Steven Hinton,place of birth,Ipswich
What was Francesco Bernardino Ferrari's relative?,"[""Ottavio Ferrari""]",Q21544626,P1038,Q19359603,Ottavio Ferrari,Q21544626 P1038 Q19359603,Q21544626 P1038,Francesco Bernardino Ferrari,relative,Ottavio Ferrari
Where was Marta Aibeková born?,"[""Trencin"", ""Tren\u010d\u00edn""]",Q3504107,P19,Q145002,Trenčín,Q3504107 P19 Q145002,Q3504107 P19,Marta Aibeková,place of birth,Trenčín
Who was Thomas Tyndale a relative of?,"[""William Tyndale""]",Q53648889,P1038,Q219639,William Tyndale,Q53648889 P1038 Q219639,Q53648889 P1038,Thomas Tyndale,relative,William Tyndale
Where was Sun Guoqiang born?,"[""Zhengzhou"", ""Chengchow""]",Q847955,P19,Q30340,Zhengzhou,Q847955 P19 Q30340,Q847955 P19,Sun Guoqiang,place of birth,Zhengzhou
Where was the Pyrenean Symphony first performed?,"[""Bilbao""]",Q3573444,P4647,Q8692,Bilbao,Q3573444 P4647 Q8692,Q3573444 P4647,Pyrenean Symphony,location of first performance,Bilbao
Where did Edwina Palmer study?,"[""School of Oriental and African Studies, University of London"", ""SOAS"", ""School of Oriental and African Studies"", ""soas""]",Q5346950,P69,Q220144,School of Oriental and African Studies,Q5346950 P69 Q220144,Q5346950 P69,Edwina Palmer,educated at,"School of Oriental and African Studies, University of London"
What country recognizes Fabian Eberle as its citizen?,"[""LI"", ""Principality of Liechtenstein"", ""LIE"", ""FL"", ""li"", ""\ud83c\uddf1\ud83c\uddee"", ""Liechtenstein""]",Q3737553,P27,Q347,Liechtenstein,Q3737553 P27 Q347,Q3737553 P27,Fabian Eberle,country of citizenship,Liechtenstein
Where was Łukasz Juszkiewicz born?,"[""Z\u00fcllichau"", ""Sulech\u00f3w"", ""Sulechow""]",Q4025652,P19,Q457865,Sulechów,Q4025652 P19 Q457865,Q4025652 P19,Łukasz Juszkiewicz,place of birth,Sulechów
What is the capital of Chkalovs'ke United territorial community?,"[""Chkalovske"", ""Chkalovskoye""]",Q28479500,P36,Q4516908,Chkalovske,Q28479500 P36 Q4516908,Q28479500 P36,Chkalovs'ke United territorial community,capital,Chkalovske
What country recognizes Kalevi Mononen as its citizen?,"[""Land of Thousand Lakes"", ""Suomi"", ""fi"", ""Finland"", ""\ud83c\uddeb\ud83c\uddee"", ""Finnish"", ""Suomen tasavalta"", ""FIN"", ""Republic of Finland"", ""Finnia"", ""Republiken Finland""]",Q6352228,P27,Q33,Finnish,Q6352228 P27 Q33,Q6352228 P27,Kalevi Mononen,country of citizenship,Finland
What is the place of birth of Anno Schreier?,"[""Aachen"", ""Oche"", ""Aix-la-Chapelle"", ""Aix la Chapelle""]",Q567270,P19,Q1017,Aachen,Q567270 P19 Q1017,Q567270 P19,Anno Schreier,place of birth,Aachen
What educational institution did John Forsen attend?,"[""Western Washington State College"", ""WWU"", ""Western Washington University"", ""Western WA University"", ""Western Washington College of Education""]",Q6233690,P69,Q284777,Western WA University,Q6233690 P69 Q284777,Q6233690 P69,John Forsen,educated at,Western Washington University
Who was the doctoral advisor of Bertil Näslund?,"[""William Wager Cooper"", ""William W. Cooper""]",Q4895702,P184,Q8019772,William W. Cooper,Q4895702 P184 Q8019772,Q4895702 P184,Bertil Näslund,doctoral advisor,William W. Cooper
What medical condition does Stephen Clancy have?,"[""juvenile diabetes"", ""Type 1 diabetes"", ""type I diabetes mellitus"", ""DIABETES MELLITUS, INSULIN-DEPENDENT; IDDM"", ""Diabetes Mellitus, Insulin-Dependent, 1"", ""IDDM"", ""DIABETES MELLITUS, INSULIN-DEPENDENT"", ""insulin dependent diabetes"", ""T1DM"", ""diabetes (type 1)"", ""Diabetes Mellitus, Type 1"", ""type 1 diabetes mellitus"", ""type-1 diabetes"", ""Insulin-Dependent Diabetes Mellitus 1"", ""insulin-dependent diabetes mellitus"", ""diabetes mellitus juvenile type"", ""Juvenile-Onset Diabetes""]",Q19598936,P1050,Q124407,Type 1 diabetes,Q19598936 P1050 Q124407,Q19598936 P1050,Stephen Clancy,medical condition,type-1 diabetes
What is the architectural style of the Logia Masónica Hijos de la Luz?,"[""neoclassical style"", ""neo-classical architecture"", ""neo-classical"", ""Classical Revival"", ""Neoclassicism"", ""Classical Revival architecture"", ""Neoclassical architecture""]",Q105153995,P149,Q54111,Classical Revival,Q105153995 P149 Q54111,Q105153995 P149,Logia Masónica Hijos de la Luz,architectural style,Neoclassical architecture
What channel broadcasted the Latin Grammy Awards of 2007?,"[""Univision""]",Q6496418,P3301,Q731824,Univision,Q6496418 P3301 Q731824,Q6496418 P3301,Latin Grammy Awards of 2007,broadcast by,Univision
Where was Lawrence Fairfax Reifsnider educated?,"[""United States Naval Academy"", ""Annapolis"", ""USNA"", ""United States Navy Academy"", ""U.S. Naval Academy""]",Q19664136,P69,Q559549,United States Naval Academy,Q19664136 P69 Q559549,Q19664136 P69,Lawrence Fairfax Reifsnider,educated at,United States Naval Academy
What is Candarave the capital of?,"[""Candarave Province"", ""Candarave District""]",Q3344236,P1376,Q1944299,Candarave Province,Q3344236 P1376 Q1944299,Q3344236 P1376,Candarave,capital of,Candarave Province
What educational institution did Byron Foss attend?,"[""Southern Methodist"", ""Southern Methodist University"", ""SMU""]",Q5004352,P69,Q1536258,Southern Methodist University,Q5004352 P69 Q1536258,Q5004352 P69,Byron Foss,educated at,Southern Methodist University
Who was the doctoral advisor of Emil Ermatinger?,"[""Hugo Bl\u00fcmner"", ""Hugo Johann Friedrich Daniel Wilhelm Ferdinand Bl\u00fcmner""]",Q125189,P184,Q84849,Hugo Blümner,Q125189 P184 Q84849,Q125189 P184,Emil Ermatinger,doctoral advisor,Hugo Blümner
What type of kinship did Karl Leib have?,"[""Gottlob Berger"", ""Gottlob Christian Berger""]",Q6372029,P1038,Q60284,Gottlob Berger,Q6372029 P1038 Q60284,Q6372029 P1038,Karl Leib,relative,Gottlob Berger
Who composed the music for Soundarya Pooja?,"[""Baburaj"", ""M. S. Baburaj""]",Q7564833,P86,Q4838100,M. S. Baburaj,Q7564833 P86 Q4838100,Q7564833 P86,Soundarya Pooja,composer,Baburaj
"What is the architectural style of Calvary Episcopal Church in Tennessee, United States?","[""Gothic Revival"", ""Neogothic architecture"", ""Gothic Revival style"", ""Jigsaw Gothic"", ""Victorian Gothic architecture"", ""Neo-Gothic architecture"", ""Gothic Revival architecture""]",Q5024178,P149,Q186363,Gothic Revival,Q5024178 P149 Q186363,Q5024178 P149,Calvary Episcopal Church,architectural style,Gothic Revival
"What educational institution did George Andrews Moriarty, Jr attend?","[""Christ Church"", ""The House"", ""University of Harvard"", ""Harvard Graduate School"", ""Harvard"", ""Christchurch, Oxford"", ""Christ Church College"", ""Christ Church, Oxford"", ""harvard.edu"", ""Harvard University""]",Q18343861,P69,Q13371,Harvard University,Q18343861 P69 Q13371,Q18343861 P69,"George Andrews Moriarty, Jr",educated at,Harvard University
What type of kinship did Po Krei Brei have?,"[""Nguy\u1ec5n V\u0103n T\u00e1"", ""Po Tisuntiraidapuran""]",Q24958935,P1038,Q24958933,Po Tisuntiraidapuran,Q24958935 P1038 Q24958933,Q24958935 P1038,Po Krei Brei,relative,Po Tisuntiraidapuran
Where was Ben Judge born?,"[""Perth, Western Australia"", ""Perth, W.A."", ""Perth"", ""Perth, Australia""]",Q816532,P19,Q3183,Perth,Q816532 P19 Q3183,Q816532 P19,Ben Judge,place of birth,Perth
Who was the doctoral advisor of Justin Jesse Price?,"[""Nathan J. Fine"", ""Nathan Fine"", ""Nathan Jacob Fine""]",Q6317742,P184,Q6969052,Nathan Fine,Q6317742 P184 Q6969052,Q6317742 P184,Justin Jesse Price,doctoral advisor,Nathan Fine
Where was Valentine d'Aubigny first performed?,"[""Opera-Comique"", ""Op\u00e9ra-Comique"", ""Th\u00e9\u00e2tre de l'Op\u00e9ra-Comique""]",Q20670757,P4647,Q872222,Théâtre de l'Opéra-Comique,Q20670757 P4647 Q872222,Q20670757 P4647,Valentine d'Aubigny,location of first performance,Opéra-Comique
What organization or person was responsible for publishing the Star Trek: The Original Series Role-playing Game?,"[""LUG"", ""Last Unicorn Games""]",Q18154548,P123,Q6494748,Last Unicorn Games,Q18154548 P123 Q6494748,Q18154548 P123,Star Trek: The Original Series Role-playing Game,publisher,Last Unicorn Games
"Who was the producer of the album ""Say Africa""?","[""Henry Saint Clair Fredericks"", ""Taj Mahal""]",Q7428903,P162,Q353023,Taj Mahal,Q7428903 P162 Q353023,Q7428903 P162,Say Africa,producer,Taj Mahal
Where was Philipp Kanske born?,"[""Dresden"", ""Drezda"", ""Elbflorenz""]",Q37616532,P19,Q1731,Dresden,Q37616532 P19 Q1731,Q37616532 P19,Philipp Kanske,place of birth,Dresden
What educational institution did Jasone Salaberria Fuldain attend?,"[""University of Bordeaux 3"", ""Bordeaux Montaigne University"", ""Michel de Montaigne University""]",Q3163019,P69,Q13342,Bordeaux Montaigne University,Q3163019 P69 Q13342,Q3163019 P69,Jasone Salaberria Fuldain,educated at,Bordeaux Montaigne University
Who was the doctoral advisor of Pierre Jacquinot?,"[""Aim\u00e9 Cotton"", ""Aime Cotton"", ""Fran\u00e7ois Croze"", ""Aim\u00e9 Auguste Cotton""]",Q2093554,P184,Q405699,Aimé Cotton,Q2093554 P184 Q405699,Q2093554 P184,Pierre Jacquinot,doctoral advisor,Aimé Cotton
Where was Todor Pramatarov born?,"[""Sredets"", ""Sredez"", ""Sofia"", ""Sofija"", ""Serdica""]",Q3530306,P19,Q472,Sofia,Q3530306 P19 Q472,Q3530306 P19,Todor Pramatarov,place of birth,Sofia
What educational institution was Michael Ussery educated at?,"[""Newberry College""]",Q84573728,P69,Q14709596,Newberry College,Q84573728 P69 Q14709596,Q84573728 P69,Michael Ussery,educated at,Newberry College
Where did Fra Gherardo have its first performance?,"[""Milan Scala"", ""New Royal-Ducal Theatre at La Scala"", ""Nuovo Regio Ducal Teatro alla Scala"", ""Scala"", ""La Scala"", ""Teatro alla Scala"", ""Nuovo Regio Ducal Teatro""]",Q16557030,P4647,Q5471,La Scala,Q16557030 P4647 Q5471,Q16557030 P4647,Fra Gherardo,location of first performance,La Scala
Where was Wilhelm de Haan born?,"[""Amsterdam"", ""Amsterdam, NL"", ""A'dam"", ""Mokum"", ""Amsterdam, Netherlands""]",Q659389,P19,Q727,Amsterdam,Q659389 P19 Q727,Q659389 P19,Wilhelm de Haan,place of birth,Amsterdam
What educational institution did John Francisco Richards II attend?,"[""yale.edu"", ""Collegiate School"", ""Yale University"", ""Yale"", ""Yale College""]",Q6233954,P69,Q49112,Yale University,Q6233954 P69 Q49112,Q6233954 P69,John Francisco Richards II,educated at,Yale University
What is Hannah Prock's relative?,"[""Gregor Schlierenzauer""]",Q48442750,P1038,Q217522,Gregor Schlierenzauer,Q48442750 P1038 Q217522,Q48442750 P1038,Hannah Prock,relative,Gregor Schlierenzauer
What is the architectural style of the William Jacob Heller House?,"[""Spanish Colonial Revival architecture"", ""Art Nouveau"", ""Jugendstil"", ""Spanish Revival architecture"", ""Spanish Revival"", ""Art Nouveaustijl"", ""Art-Nouveau"", ""jugend"", ""Spanish Colonial Revival""]",Q8013411,P149,Q3645460,Spanish Colonial Revival,Q8013411 P149 Q3645460,Q8013411 P149,William Jacob Heller House,architectural style,Spanish Colonial Revival architecture
Where was Bagrat Grigoryan born?,"[""Gyumri"", ""G\u00fcmr\u00fc""]",Q27881806,P19,Q199500,Gyumri,Q27881806 P19 Q199500,Q27881806 P19,Bagrat Grigoryan,place of birth,Gyumri
What is the capital city of Río Segundo Department?,"[""Villa del Rosario, C\u00f3rdoba"", ""Villa del Rosario""]",Q1063078,P36,Q2314221,Villa del Rosario,Q1063078 P36 Q2314221,Q1063078 P36,Río Segundo Department,capital,"Villa del Rosario, Córdoba"
Where was Pietro Volpes born?,"[""Palermo"", ""Palermo, Italy""]",Q16031336,P19,Q2656,Palermo,Q16031336 P19 Q2656,Q16031336 P19,Pietro Volpes,place of birth,Palermo
Who is the author of Saint Overboard?,"[""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]",Q7401974,P50,Q743079,Leslie Charteris,Q7401974 P50 Q743079,Q7401974 P50,Saint Overboard,author,Leslie Charteris
What type of food culture is sauerkraut a part of?,"[""Polish cuisine"", ""cooking (Germany)"", ""cuisine of Germany"", ""cuisine of Poland"", ""cuisine (Germany)"", ""Polish food"", ""Ukrainian food"", ""Russian food"", ""food (Germany)"", ""cuisine of Bulgaria"", ""German food"", ""Russian traditional cuisine"", ""Bulgarian cuisine"", ""Czech food"", ""cuisine of the Czech Republic"", ""Ukrainian cuisine"", ""food of Germany"", ""German cuisine"", ""cooking in Germany"", ""Germany's cuisine"", ""Czech cuisine"", ""Germany"", ""Germany cuisine"", ""food in Germany"", ""cuisine of Ukraine"", ""German cooking"", ""Russian cuisine""]",Q154166,P2012,Q47629,Germany,Q154166 P2012 Q47629,Q154166 P2012,sauerkraut,cuisine,German cuisine
What is the administrative centre of Puaucho?,"[""San Juan de la Costa""]",Q6090632,P1376,Q187856,San Juan de la Costa,Q6090632 P1376 Q187856,Q6090632 P1376,Puaucho,capital of,San Juan de la Costa
What sport did Patrick Birocheau participate in?,"[""wiff waff"", ""table tennis"", ""ping-pong"", ""ping pong""]",Q1914585,P641,Q3930,table tennis,Q1914585 P641 Q3930,Q1914585 P641,Patrick Birocheau,sport,table tennis
What is the architectural style of the Accomac Historic District?,"[""Greek Revival architecture"", ""Greek Revival (architecture)"", ""Greek Revival"", ""Neostyle - neo-Greek"", ""Neo-Greek architecture"", ""Neo-Greek""]",Q14691867,P149,Q1513688,Greek Revival,Q14691867 P149 Q1513688,Q14691867 P149,Accomac Historic District,architectural style,Greek Revival architecture
What organization or person is responsible for publishing the International Journal of Software and Informatics?,"[""CAS"", ""Chinese Academy of Sciences""]",Q6051587,P123,Q530471,Chinese Academy of Sciences,Q6051587 P123 Q530471,Q6051587 P123,International Journal of Software and Informatics,publisher,Chinese Academy of Sciences
What was Perley Ason Ross's occupation?,"[""physicist""]",Q7169140,P106,Q169470,physicist,Q7169140 P106 Q169470,Q7169140 P106,Perley Ason Ross,occupation,physicist
Who was Edward W. Scripture's doctoral advisor?,"[""Wundt"", ""Wilhelm Wundt"", ""Wilhelm Maximilian Wundt""]",Q9251283,P184,Q75814,Wilhelm Wundt,Q9251283 P184 Q75814,Q9251283 P184,Edward W. Scripture,doctoral advisor,Wilhelm Wundt
What country is the Society for Commercial Archeology based in?,"[""the US"", ""the States"", ""U. S."", ""America"", ""the United States"", ""US of A"", ""U. S. A."", ""United States of America"", ""US"", ""U.S"", ""U.S."", ""the USA"", ""'Merica"", ""'Murica"", ""U.S.A."", ""USA"", ""United States"", ""the U.S."", ""the United States of America""]",Q7552084,P17,Q30,United States,Q7552084 P17 Q30,Q7552084 P17,Society for Commercial Archeology,country,United States of America
What is the color of Serpentinen Tanz?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q4417780,P462,Q838368,black-and-white,Q4417780 P462 Q838368,Q4417780 P462,Serpentinen Tanz,color,black and white
What is the capital of Novonikolayevsky District?,"[""Novonikolayevsky, Volgograd Oblast"", ""Novonikolayevsky""]",Q1653219,P36,Q3896827,Novonikolayevsky,Q1653219 P36 Q3896827,Q1653219 P36,Novonikolayevsky District,capital,"Novonikolayevsky, Volgograd Oblast"
Who was Cornelius Neale related to?,"[""John Mason Good""]",Q5171425,P1038,Q6247081,John Mason Good,Q5171425 P1038 Q6247081,Q5171425 P1038,Cornelius Neale,relative,John Mason Good
"What is the administrative center of Topchikha in Altai Krai, Russia?","["""", ""Topchikhinsky District""]",Q4460926,P1376,Q1822666,Topchikhinsky District,Q4460926 P1376 Q1822666,Q4460926 P1376,Topchikha,capital of,Topchikhinsky District
What sport is Choi In-chol associated with?,"[""speed skater"", ""speed-skating"", ""speedskating"", ""speed skating""]",Q73512010,P641,Q192431,speed skater,Q73512010 P641 Q192431,Q73512010 P641,Choi In-chol,sport,speed skating
Where did Alice Doria-Gamilla complete her Elementary Teacher's Certificate?,"[""National University""]",Q4725826,P69,Q3547601,National University,Q4725826 P69 Q3547601,Q4725826 P69,Alice Doria-Gamilla,educated at,National University
What is the capital of Uyarsky District?,"[""Uyar""]",Q918951,P36,Q197351,Uyar,Q918951 P36 Q197351,Q918951 P36,Uyarsky District,capital,Uyar
"Where was the play ""for colored girls who have considered suicide/when the rainbow is enuf"" first performed?","[""Booth Theatre""]",Q5466695,P4647,Q3527434,Booth Theatre,Q5466695 P4647 Q3527434,Q5466695 P4647,for colored girls who have considered suicide/when the rainbow is enuf,location of first performance,Booth Theatre
What language is widely used in Radio Sfax?,"[""Arabic"", ""Arabic language"", ""ar"", ""Arabian language""]",Q3416840,P2936,Q13955,Arabic language,Q3416840 P2936 Q13955,Q3416840 P2936,Radio Sfax,language used,Arabic
What sport does Seto Car-wai participate in?,"[""swimming"", ""swimmer"", ""competitive swimming""]",Q29060852,P641,Q31920,swimmer,Q29060852 P641 Q31920,Q29060852 P641,Seto Car-wai,sport,swimming
